Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",98.650000,-86.990000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",98.650000,-88.960000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",98.650000,-90.930000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",100.020000,-112.000000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",100.020000,-113.030000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",100.020000,-115.000000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",101.520000,-86.990000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",101.520000,-88.960000,0.000000,top
"C9","1uF","C_0402_1005Metric",101.520000,-90.930000,0.000000,top
"C10","1uF","C_0402_1005Metric",102.890000,-112.000000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",102.890000,-113.030000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",102.890000,-115.000000,0.000000,top
"C13","10uF","C_0603_1608Metric",95.000000,-84.500000,-90.000000,top
"C14","10uF","C_0603_1608Metric",97.000000,-99.500000,0.000000,top
"C15","33pF","C_0402_1005Metric",104.390000,-85.060000,0.000000,top
"C16","33pF","C_0402_1005Metric",95.000000,-116.500000,180.000000,top
"C17","0.1uF","C_0402_1005Metric",104.390000,-89.000000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",100.000000,-77.000000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",91.110000,-75.870000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",108.890000,-75.870000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",97.460000,-123.890000,90.000000,top
"R1","5.1k","R_0402_1005Metric",95.760000,-87.000000,0.000000,top
"R2","5.1k","R_0402_1005Metric",95.760000,-88.990000,0.000000,top
"R3","27","R_0402_1005Metric",95.760000,-90.980000,0.000000,top
"R4","27","R_0402_1005Metric",97.130000,-111.130000,0.000000,top
"R5","1k","R_0402_1005Metric",94.500000,-123.000000,0.000000,top
"R6","10k","R_0402_1005Metric",97.130000,-115.110000,180.000000,top
"R7","1k","R_0402_1005Metric",105.000000,-117.500000,-90.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",101.400000,-119.500000,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",100.000000,-105.000000,0.000000,top
"U3","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",100.000000,-95.500000,0.000000,top
"U4","MCP1700x-330xxTT","SOT-23",99.500000,-84.500000,90.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",96.000000,-119.500000,0.000000,top
